,data_type,model_type,r^2,times_better_than_random,nutrient,leverage,feature,importance
0,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,ag,
1,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,ag,
2,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,ag,
3,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,ag,
4,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,ag,0.032856578068574116
5,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,ag,0.2218189851659733
6,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,ag,0.1182084024062319
7,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,ag,0.043370720789683896
8,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,ag,0.1224383569143272
9,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,ag,0.2780136503471985
10,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,ag,0.07784679332911745
11,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,ag,0.09491116179110916
12,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,ag,0.01374763651538524
13,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,ag,0.25683314283659303
14,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,ag,0.04395389556874433
15,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,ag,0.0068583459985413755
16,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,ag,
17,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,ag,
18,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,ag,
19,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,ag,
20,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,ag,0.07102527171723227
21,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,ag,0.051316342993700435
22,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,ag,0.13939381528364828
23,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,ag,0.05790506954293503
24,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,ag,0.0854487612807408
25,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,ag,0.15998535027772784
26,stream,RFR,0.584564734648005,4.7203594538043685,tn,non_leverage,ag,0.2535965595000275
27,stream,RFR,0.14563853768607815,5.015574939088227,tp,non_leverage,ag,0.055957002393594274
28,stream,DTR,0.4517594855422482,3.7724312111766762,doc,non_leverage,ag,0.043279405687051034
29,stream,DTR,0.2112925304375587,3.8508357963462965,no3,non_leverage,ag,0.12592776982625434
30,stream,DTR,0.3906270363751203,3.7822183399794604,tn,non_leverage,ag,0.07282228548256736
31,stream,DTR,0.04674454412130991,4.1295333107047085,tp,non_leverage,ag,0.1282033141290604
32,stream,MLP,0.1383251326493703,2.997553253265397,doc,leverage,ag,
33,stream,MLP,0.09843985156830648,4.722925446279176,no3,leverage,ag,
34,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,ag,
35,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,ag,
36,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,ag,0.04552465505779347
37,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,ag,0.245091996749722
38,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,ag,0.07370286629361761
39,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,ag,0.0367633227688483
40,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,ag,0.1450409078541097
41,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,ag,0.17692318561344975
42,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,ag,0.11871338010788765
43,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,ag,0.05784737562136099
44,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,ag,0.04051359928877929
45,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,ag,0.3079584195391399
46,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,ag,0.2198614459964659
47,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,ag,0.0327157272617038
48,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,ag,
49,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,ag,
50,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,ag,
51,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,ag,
52,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,ag,0.059608133239321175
53,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,ag,0.17192485918812772
54,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,ag,0.16408878224261506
55,lake,GBR,0.9145469034696276,4.594181149121052,tp,leverage,ag,0.029129469773445518
56,lake,RFR,0.30510342971992344,6.4246317671914825,doc,leverage,ag,0.053816972518177714
57,lake,RFR,0.5804064271241041,13.403264621582432,no3,leverage,ag,0.1351755755265031
58,lake,RFR,0.5185615031152988,9.660285089441627,tn,leverage,ag,0.1241562628149825
59,lake,RFR,0.9637725050867276,36.388539369550216,tp,leverage,ag,0.03646531812603217
60,lake,DTR,0.3049620078308919,5.870332921037273,doc,leverage,ag,0.21645794762078288
61,lake,DTR,0.5326869074304269,13.655781696913193,no3,leverage,ag,0.08097547819305141
62,lake,DTR,0.5659804654319438,10.281163270023512,tn,leverage,ag,0.02066152925685644
63,lake,DTR,0.8673048927183769,27.93950027251591,tp,leverage,ag,0.01074600800479482
64,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,area,
65,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,area,
66,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,area,
67,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,area,
68,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,area,0.08404700784446567
69,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,area,0.06976222610546154
70,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,area,0.04226694023296753
71,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,area,0.03587418523650554
72,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,area,0.1217964325936336
73,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,area,0.08113427819748067
74,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,area,0.10103603003773624
75,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,area,0.04637354371333762
76,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,area,0.01826627459709105
77,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,area,0.045841967479220855
78,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,area,0.022989757979534668
79,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,area,0.03432705510001155
80,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,area,
81,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,area,
82,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,area,
83,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,area,
84,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,area,0.0396931273992842
85,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,area,0.05222085934782512
86,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,area,0.09232374770668796
87,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,area,0.23876044873962024
88,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,area,0.08683446702789192
89,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,area,0.046932309106870414
90,stream,RFR,0.584564734648005,4.7203594538043685,tn,non_leverage,area,0.07481873386214591
91,stream,RFR,0.14563853768607815,5.015574939088227,tp,non_leverage,area,0.2498462895540887
92,stream,DTR,0.4517594855422482,3.7724312111766762,doc,non_leverage,area,0.05127175498289187
93,stream,DTR,0.2112925304375587,3.8508357963462965,no3,non_leverage,area,0.018204495059207047
94,stream,DTR,0.3906270363751203,3.7822183399794604,tn,non_leverage,area,0.23151629925576755
95,stream,DTR,0.04674454412130991,4.1295333107047085,tp,non_leverage,area,0.10533012883398828
96,stream,MLP,0.1383251326493703,2.997553253265397,doc,leverage,area,
97,stream,MLP,0.09843985156830648,4.722925446279176,no3,leverage,area,
98,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,area,
99,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,area,
100,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,area,
101,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,area,
102,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,area,
103,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,area,
104,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,area,
105,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,area,
106,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,area,
107,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,area,
108,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,area,
109,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,area,
110,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,area,
111,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,area,
112,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,area,
113,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,area,
114,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,area,
115,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,area,
116,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,area,
117,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,area,
118,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,area,
119,lake,GBR,0.9145469034696276,4.594181149121052,tp,leverage,area,
120,lake,RFR,0.30510342971992344,6.4246317671914825,doc,leverage,area,
121,lake,RFR,0.5804064271241041,13.403264621582432,no3,leverage,area,
122,lake,RFR,0.5185615031152988,9.660285089441627,tn,leverage,area,
123,lake,RFR,0.9637725050867276,36.388539369550216,tp,leverage,area,
124,lake,DTR,0.3049620078308919,5.870332921037273,doc,leverage,area,
125,lake,DTR,0.5326869074304269,13.655781696913193,no3,leverage,area,
126,lake,DTR,0.5659804654319438,10.281163270023512,tn,leverage,area,
127,lake,DTR,0.8673048927183769,27.93950027251591,tp,leverage,area,
128,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,ecoreg,
129,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,ecoreg,
130,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,ecoreg,
131,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,ecoreg,
132,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,ecoreg,7.743806945881815e-05
133,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,ecoreg,0.034347684821364924
134,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,ecoreg,3.451215405691273e-06
135,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,ecoreg,0.0007019456980900253
136,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,ecoreg,0.0013359283474629494
137,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,ecoreg,0.014071920334914823
138,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,ecoreg,0.0008748389480492222
139,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,ecoreg,0.0071181297026465685
140,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,ecoreg,0.0002968373314510344
141,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,ecoreg,0.00912063165668019
142,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,ecoreg,0.004260272558397674
143,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,ecoreg,0.00023263511376323277
144,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,ecoreg,
145,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,ecoreg,
146,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,ecoreg,
147,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,ecoreg,
148,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,ecoreg,0.0017794529750504921
149,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,ecoreg,0.0009325710616795713
150,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,ecoreg,0.01256428367851518
151,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,ecoreg,0.10880988624309204
152,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,ecoreg,0.008249851770324999
153,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,ecoreg,0.00489825810867019
154,stream,RFR,0.584564734648005,4.7203594538043685,tn,non_leverage,ecoreg,0.0189632630411002
155,stream,RFR,0.14563853768607815,5.015574939088227,tp,non_leverage,ecoreg,0.11607781997479485
156,stream,DTR,0.4517594855422482,3.7724312111766762,doc,non_leverage,ecoreg,0.004750071723889282
157,stream,DTR,0.2112925304375587,3.8508357963462965,no3,non_leverage,ecoreg,0.03046201669612192
158,stream,DTR,0.3906270363751203,3.7822183399794604,tn,non_leverage,ecoreg,0.0011350383073880912
159,stream,DTR,0.04674454412130991,4.1295333107047085,tp,non_leverage,ecoreg,0.16050498758434764
160,stream,MLP,0.1383251326493703,2.997553253265397,doc,leverage,ecoreg,
161,stream,MLP,0.09843985156830648,4.722925446279176,no3,leverage,ecoreg,
162,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,ecoreg,
163,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,ecoreg,
164,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,ecoreg,0.011573279983636777
165,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,ecoreg,0.3219522553535464
166,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,ecoreg,0.12709482812918302
167,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,ecoreg,0.027887108853623617
168,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,ecoreg,0.011461626262705213
169,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,ecoreg,0.2642324670949737
170,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,ecoreg,0.12693383534730174
171,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,ecoreg,0.025823845693245803
172,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,ecoreg,0.00234505877788555
173,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,ecoreg,0.3205335398159936
174,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,ecoreg,0.09493163156905272
175,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,ecoreg,0.015425070899058303
176,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,ecoreg,
177,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,ecoreg,
178,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,ecoreg,
179,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,ecoreg,
180,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,ecoreg,0.04080731677493126
181,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,ecoreg,0.0003839049436094208
182,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,ecoreg,0.013646674845784905
183,lake,GBR,0.9145469034696276,4.594181149121052,tp,leverage,ecoreg,0.02577852183148943
184,lake,RFR,0.30510342971992344,6.4246317671914825,doc,leverage,ecoreg,0.06256383649177888
185,lake,RFR,0.5804064271241041,13.403264621582432,no3,leverage,ecoreg,0.0024293378955201786
186,lake,RFR,0.5185615031152988,9.660285089441627,tn,leverage,ecoreg,0.07301872203509803
187,lake,RFR,0.9637725050867276,36.388539369550216,tp,leverage,ecoreg,0.04585026404911837
188,lake,DTR,0.3049620078308919,5.870332921037273,doc,leverage,ecoreg,0.048091917530198015
189,lake,DTR,0.5326869074304269,13.655781696913193,no3,leverage,ecoreg,0.00013662227467303164
190,lake,DTR,0.5659804654319438,10.281163270023512,tn,leverage,ecoreg,0.034670578024996256
191,lake,DTR,0.8673048927183769,27.93950027251591,tp,leverage,ecoreg,0.05560847678770532
192,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,elev,
193,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,elev,
194,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,elev,
195,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,elev,
196,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,elev,0.23580103803012764
197,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,elev,0.19075827627869515
198,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,elev,0.1875242657377176
199,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,elev,0.12541515369368544
200,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,elev,0.14980058035286886
201,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,elev,0.15878154435555505
202,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,elev,0.06089021693029036
203,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,elev,0.11187585767447612
204,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,elev,0.013419638772024874
205,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,elev,0.033441907522638065
206,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,elev,0.21573116943283285
207,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,elev,0.26971421264113155
208,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,elev,
209,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,elev,
210,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,elev,
211,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,elev,
212,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,elev,0.046863601778602194
213,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,elev,0.15913149539977053
214,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,elev,0.1880134505009001
215,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,elev,0.17012940038921984
216,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,elev,0.08931981668327495
217,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,elev,0.10031745727462914
